,adminRights,controllables,controllers,dcomRights,members,membership,admincount,description,distinguishedname,doesanyacegrantownerrights,doesanyinheritedacegrantownerrights,domain,domainsid,isaclprotected,lastseen,name,objectid,samaccountname,whencreated,psRemoteRights,rdpRights,sessions,admin_tier_0,path_da_nnodes,path_da_nedges,path_da_nodes,path_da_edges,path_da_nodes_oidlist,control_risk,system_tags,objectID,error,controllables_norm,controllers_norm,path_da_nedges_norm,members_norm,sessions_norm,n_in_path_da,n_in_path_da_norm,members_controllables_mean,users_mean-group_control,users_mean-group_control_norm,control_risk_norm,control_risk_norm_100,control_risk_100
56,0.0,3363.0,168.0,0.0,52.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=RO-ARJ-DISTLIST1,OU=GROUPS,OU=ESM,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:39.799Z,RO-ARJ-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3635,RO-arj-distlist1,1742159169.0,0.0,0.0,0.0,False,5.0,6.0,"                             label       kind  \
id                                              
1002             USERS@MYLAB.LOCAL  Container   
1019       LOUIS_TYLER@MYLAB.LOCAL       User   
128      DOMAIN ADMINS@MYLAB.LOCAL      Group   
477      JENNA_HARDING@MYLAB.LOCAL       User   
872   RO-ARJ-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
872   S-1-5-21-1333368235-828418111-1849936505-3635       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
477           False  2025-03-16T21:35:31.048103438Z  
872           False        2025-03-16T21:35:39.799Z  ","  source target       label        kind                        lastSeen
0    872   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
1   1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z
2    872   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
3   1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
4    872    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
5    477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3635']",3950.0,,,,0.9414893617021277,0.38620689655172413,0.2,0.020030816640986132,1.0,361.0,0.5034867503486751,3361.609756097561,-1.3902439024391242,1.0,4.051213825243513,0.3636630757024215,2.1709499417415965
57,0.0,0.0,217.0,0.0,58.0,12.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=AM-DOS-DISTLIST1,OU=TEST,OU=AZR,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,AM-DOS-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3636,AM-dos-distlist1,1742159169.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],275.0,,,,0.0,0.49885057471264366,0.0,0.02234206471494607,1.0,0.0,0.0,342.0425531914894,342.0425531914894,0.903891606107126,2.4250842455347157,0.21769119913477544,0.15114208455163014
58,0.0,0.0,219.0,0.0,27.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=TE-TONTOJUAN-ADMINGROUP1,OU=T1-ROLES,OU=TIER 1,OU=ADMIN,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,TE-TONTOJUAN-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3637,TE-tontojuan-admingroup1,1742159169.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],246.0,,,,0.0,0.503448275862069,0.0,0.010400616332819723,1.0,0.0,0.0,552.8421052631579,552.8421052631579,0.8449001336724059,2.3587490258672945,0.21173652207938698,0.1352034647261855
59,0.0,0.0,218.0,0.0,57.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=GA-FUC-ADMINGROUP1,OU=DEVICES,OU=FSR,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,GA-FUC-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3638,GA-fuc-admingroup1,1742159170.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],275.0,,,,0.0,0.5011494252873563,0.0,0.021956856702619414,1.0,0.0,0.0,60.34375,60.34375,0.9827239708823349,2.5058302528723106,0.2249394814140538,0.15114208455163014
60,0.0,0.0,386.0,0.0,30.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=RU-358965125-DISTLIST1,OU=SERVICEACCOUNTS,OU=TST,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,RU-358965125-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3639,RU-358965125-distlist1,1742159170.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],416.0,,,,0.0,0.8873563218390804,0.0,0.011556240369799691,1.0,0.0,0.0,229.1578947368421,229.1578947368421,0.9354819588952861,2.834394521104166,0.2544335287552676,0.22863675335810232
61,0.0,0.0,217.0,0.0,40.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=GA-MER-DISTLIST1,OU=SERVICEACCOUNTS,OU=HRE,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,GA-MER-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3640,GA-mer-distlist1,1742159170.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],257.0,,,,0.0,0.49885057471264366,0.0,0.015408320493066256,1.0,0.0,0.0,607.2,607.2,0.8296882785357895,2.3439471737414994,0.21040781238832654,0.1412491481082507
62,0.0,253.0,221.0,0.0,21.0,10.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=CH-RAD-DISTLIST1,OU=SERVICEACCOUNTS,OU=FSR,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:40.097Z,CH-RAD-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3641,CH-rad-distlist1,1742159170.0,0.0,0.0,0.0,False,7.0,8.0,"                             label       kind  \
id                                              
1002             USERS@MYLAB.LOCAL  Container   
1019       LOUIS_TYLER@MYLAB.LOCAL       User   
128      DOMAIN ADMINS@MYLAB.LOCAL      Group   
2887  CH-RAD-DISTLIST1@MYLAB.LOCAL      Group   
477      JENNA_HARDING@MYLAB.LOCAL       User   
870   DE-DAS-DISTLIST1@MYLAB.LOCAL      Group   
873   JE-SIE-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
2887  S-1-5-21-1333368235-828418111-1849936505-3641       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
870   S-1-5-21-1333368235-828418111-1849936505-3600       False   
873   S-1-5-21-1333368235-828418111-1849936505-3769       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
2887          False        2025-03-16T21:35:40.097Z  
477           False  2025-03-16T21:35:31.048103438Z  
870           False        2025-03-16T21:35:39.799Z  
873           False        2025-03-16T21:35:39.799Z  ","  source target       label        kind                        lastSeen
0   2887    873    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
1    873    870  GenericAll  GenericAll   2025-03-16T21:35:36.88777499Z
2    870   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
3   1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
4    870    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
5    477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
6    870   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
7   1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-3641'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3600'
 'S-1-5-21-1333368235-828418111-1849936505-3769']",510.0,,,,0.07082866741321389,0.5080459770114942,0.26666666666666666,0.008089368258859784,1.0,7.0,0.009762900976290097,610.3333333333334,357.33333333333337,0.8996125380238301,2.7630061183503547,0.24802524540246934,0.2802998658957504
63,0.0,0.0,386.0,0.0,31.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=CA-CON-DISTLIST1,OU=TST,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,CA-CON-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3642,CA-con-distlist1,1742159171.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],417.0,,,,0.0,0.8873563218390804,0.0,0.011941448382126348,1.0,0.0,0.0,70.76470588235294,70.76470588235294,0.979807705047632,2.8791054752688385,0.25844707230308006,0.2291863609382901
64,0.0,0.0,217.0,0.0,52.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=BR-NOR-DISTLIST1,OU=GOO,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,BR-NOR-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3644,BR-nor-distlist1,1742159171.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],269.0,,,,0.0,0.49885057471264366,0.0,0.020030816640986132,1.0,0.0,0.0,247.33333333333334,247.33333333333334,0.9303956298475407,2.4492770212011705,0.2198628986767301,0.14784443907050365
65,0.0,0.0,315.0,0.0,154.0,2.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=TR-MINOUTINA-ADMINGROUP1,OU=SERVICEACCOUNTS,OU=AWS,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,TR-MINOUTINA-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3645,TR-minoutina-admingroup1,1742159171.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],469.0,,,,0.0,0.7241379310344828,0.0,0.059322033898305086,1.0,0.0,0.0,330.46363636363634,330.46363636363634,0.9071319230155889,2.6905918879483766,0.24152487714530277,0.25776595510805284
66,0.0,0.0,386.0,0.0,17.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=AL-927-ADMINGROUP1,OU=GROUPS,OU=TST,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,AL-927-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3646,AL-927-admingroup1,1742159172.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],403.0,,,,0.0,0.8873563218390804,0.0,0.0065485362095531584,1.0,0.0,0.0,74.0,74.0,0.9789023199939935,2.872807178042627,0.2578816965318236,0.2214918548156616
67,0.0,0.0,296.0,0.0,20.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=EU-TON-ADMINGROUP1,OU=SERVICEACCOUNTS,OU=ITS,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,EU-TON-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3647,EU-ton-admingroup1,1742159172.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],316.0,,,,0.0,0.6804597701149425,0.0,0.007704160246533128,1.0,0.0,0.0,306.57142857142856,306.57142857142856,0.913818068709577,2.601981999071053,0.2335706821516973,0.1736759953393277
68,0.0,0.0,219.0,0.0,17.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=KA-LOR-DISTLIST1,OU=SERVICEACCOUNTS,OU=TST,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,KA-LOR-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3648,KA-lor-distlist1,1742159172.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],236.0,,,,0.0,0.503448275862069,0.0,0.0065485362095531584,1.0,0.0,0.0,299.3333333333333,299.3333333333333,0.9158436228036048,2.425840434875227,0.217759079565986,0.12970738892430803
69,0.0,0.0,219.0,0.0,123.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=SA-INM-ADMINGROUP1,OU=DEVICES,OU=SEC,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,SA-INM-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3649,SA-Inm-admingroup1,1742159173.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],342.0,,,,0.0,0.503448275862069,0.0,0.047380585516178735,1.0,0.0,0.0,441.06666666666666,441.06666666666666,0.8761800753992359,2.427008936777484,0.21786397183138337,0.1879657924242091
70,0.0,0.0,247.0,0.0,23.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=SH-ALLISONRO-DISTLIST1,OU=SEC,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,SH-ALLISONRO-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3650,SH-allisonro-distlist1,1742159173.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],270.0,,,,0.0,0.5678160919540229,0.0,0.008859784283513097,1.0,0.0,0.0,562.2352941176471,562.2352941176471,0.8422714846267223,2.418947360864258,0.21714031279533239,0.1483940466506914
71,0.0,0.0,220.0,0.0,398.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=SU-ORL-DISTLIST1,OU=TEST,OU=OGC,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,SU-ORL-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3651,SU-orl-distlist1,1742159173.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],618.0,,,,0.0,0.5057471264367817,0.0,0.15331278890600925,1.0,0.0,0.0,844.28,844.28,0.7633423202670143,2.4224022356098054,0.21745044462997007,0.339657484556027
72,0.0,0.0,221.0,0.0,64.0,12.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=AR-HAPPYLIFE-DISTLIST1,OU=TEST,OU=FSR,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,AR-HAPPYLIFE-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3652,AR-happylife-distlist1,1742159173.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],285.0,,,,0.0,0.5080459770114942,0.0,0.02465331278890601,1.0,0.0,0.0,715.8936170212766,715.8936170212766,0.799270773141088,2.331970062941488,0.20933266969296438,0.1566381603535076
73,0.0,0.0,217.0,0.0,25.0,13.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=TR-PAT-DISTLIST1,OU=GROUPER-GROUPS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:40.097Z,TR-PAT-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3653,TR-pat-distlist1,1742159174.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],242.0,,,,0.0,0.49885057471264366,0.0,0.00963020030816641,1.0,0.0,0.0,754.0,754.0,0.7886068432656014,2.2970876182864113,0.2062013965342285,0.13300503440543454
74,0.0,24.0,218.0,0.0,26.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=AL-CET-DISTLIST1,OU=SERVICEACCOUNTS,OU=AZR,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:39.799Z,AL-CET-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3654,AL-cet-distlist1,1742159174.0,0.0,0.0,0.0,False,15.0,29.0,"                                   label       kind  \
id                                                    
0             ADMINISTRATORS@MYLAB.LOCAL      Group   
1002                   USERS@MYLAB.LOCAL  Container   
1019             LOUIS_TYLER@MYLAB.LOCAL       User   
1023            ANDREA_TYLER@MYLAB.LOCAL       User   
128            DOMAIN ADMINS@MYLAB.LOCAL      Group   
1855            JAMI_DEJESUS@MYLAB.LOCAL       User   
2334            2203478769SA@MYLAB.LOCAL       User   
477            JENNA_HARDING@MYLAB.LOCAL       User   
869         DA-EST-DISTLIST1@MYLAB.LOCAL      Group   
870         DE-DAS-DISTLIST1@MYLAB.LOCAL      Group   
871   MA-VACACIONE-DISTLIST1@MYLAB.LOCAL      Group   
872         RO-ARJ-DISTLIST1@MYLAB.LOCAL      Group   
877         TA-24D-DISTLIST1@MYLAB.LOCAL      Group   
880         AL-CET-DISTLIST1@MYLAB.LOCAL      Group   
889         PA-COM-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
0                          MYLAB.LOCAL-S-1-5-32-544        True   
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
1023  S-1-5-21-1333368235-828418111-1849936505-2378        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
1855  S-1-5-21-1333368235-828418111-1849936505-2509       False   
2334  S-1-5-21-1333368235-828418111-1849936505-3013       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
869   S-1-5-21-1333368235-828418111-1849936505-3782       False   
870   S-1-5-21-1333368235-828418111-1849936505-3600       False   
871   S-1-5-21-1333368235-828418111-1849936505-3890       False   
872   S-1-5-21-1333368235-828418111-1849936505-3635       False   
877   S-1-5-21-1333368235-828418111-1849936505-4033       False   
880   S-1-5-21-1333368235-828418111-1849936505-3654       False   
889   S-1-5-21-1333368235-828418111-1849936505-3962       False   

      isOwnedObject                        lastSeen  
id                                                   
0             False        2025-03-16T21:35:40.441Z  
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
1023          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
1855          False  2025-03-16T21:35:34.828284598Z  
2334          False        2025-03-16T21:35:40.117Z  
477           False  2025-03-16T21:35:31.048103438Z  
869           False        2025-03-16T21:35:39.799Z  
870           False        2025-03-16T21:35:39.799Z  
871           False        2025-03-16T21:35:39.799Z  
872           False        2025-03-16T21:35:39.799Z  
877           False        2025-03-16T21:35:40.428Z  
880           False        2025-03-16T21:35:39.799Z  
889           False        2025-03-16T21:35:39.799Z  ","   source target         label          kind                        lastSeen
0     880   2334    GenericAll    GenericAll  2025-03-16T21:35:34.964043338Z
1    2334    889      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
2     889   1023    GenericAll    GenericAll  2025-03-16T21:35:34.829357333Z
3    1023      0      MemberOf      MemberOf  2025-03-16T21:35:38.201365484Z
4       0    128    WriteOwner    WriteOwner   2025-03-16T21:35:36.88777499Z
5     889    870    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
6     870    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
7     477    128      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
8     880   1855    GenericAll    GenericAll  2025-03-16T21:35:34.829357333Z
9    1855    889      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
10    889    869    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
11    869   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
12   1019    128      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
13      0    128     WriteDacl     WriteDacl   2025-03-16T21:35:36.88777499Z
14    870   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
15    889    871    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
16    871    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
17    889    872    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
18    872    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
19    870   1002    GenericAll    GenericAll  2025-03-16T21:35:38.232994191Z
20   1002    128      Contains      Contains   2025-03-16T21:35:36.88777499Z
21    872   1002    GenericAll    GenericAll  2025-03-16T21:35:38.232994191Z
22    871   1002    GenericAll    GenericAll  2025-03-16T21:35:38.232994191Z
23    871   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
24    889    877    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
25    877   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
26      0    128  GenericWrite  GenericWrite   2025-03-16T21:35:36.88777499Z
27    869    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
28    872   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z","['MYLAB.LOCAL-S-1-5-32-544' '643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-2378'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-2509'
 'S-1-5-21-1333368235-828418111-1849936505-3013'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3782'
 'S-1-5-21-1333368235-828418111-1849936505-3600'
 'S-1-5-21-1333368235-828418111-1849936505-3890'
 'S-1-5-21-1333368235-828418111-1849936505-3635'
 'S-1-5-21-1333368235-828418111-1849936505-4033'
 'S-1-5-21-1333368235-828418111-1849936505-3654'
 'S-1-5-21-1333368235-828418111-1849936505-3962']",307.0,,,,0.006718924972004479,0.5011494252873563,0.9666666666666667,0.010015408320493066,1.0,10.0,0.01394700139470014,414.2105263157895,390.2105263157895,0.8904119775648774,3.388909404206098,0.30421036024588777,0.168729527117638
75,0.0,0.0,219.0,0.0,19.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=DA-SEI-ADMINGROUP1,OU=GROUPS,OU=SEC,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,DA-SEI-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3655,DA-sei-admingroup1,1742159174.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],238.0,,,,0.0,0.503448275862069,0.0,0.007318952234206471,1.0,0.0,0.0,295.0,295.0,0.9170562900572661,2.4278235181535415,0.21793709390822394,0.13080660408468353
76,0.0,0.0,219.0,0.0,128.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=DO-BRI-DISTLIST1,OU=TST,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,DO-BRI-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3656,DO-bri-distlist1,1742159174.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],347.0,,,,0.0,0.503448275862069,0.0,0.04930662557781202,1.0,0.0,0.0,354.47727272727275,354.47727272727275,0.9004117959864706,2.4531666974263517,0.22021206109583566,0.19071383032514785
77,0.0,0.0,221.0,0.0,52.0,10.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=SA-PLE-DISTLIST1,OU=HRE,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,SA-PLE-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3657,SA-ple-distlist1,1742159175.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],273.0,,,,0.0,0.5080459770114942,0.0,0.020030816640986132,1.0,0.0,0.0,564.5897435897435,564.5897435897435,0.8416126006785967,2.3696893943310773,0.21271860009760116,0.15004286939125464
